analysis,stat,group,n,accuracy,ci_lo,ci_hi,share_of_games,others_accuracy
by_margin,AST,"[0.0, 0.02)",3930,0.5987277353689567,0.581808557544206,0.6151519008093879,,
by_margin,AST,"[0.02, 0.05)",3028,0.6334214002642008,0.6142068913622782,0.651786204866562,,
by_margin,AST,"[0.05, 0.1)",1442,0.6608876560332871,0.6345306065984924,0.6856955770891298,,
by_margin,AST,"[0.1, 1.0)",204,0.7450980392156863,0.6666666666666666,0.8093078626799557,,
by_margin,FG3A,"[0.0, 0.02)",5633,0.5538789277472039,0.5399791980890594,0.56774755678722,,
by_margin,FG3A,"[0.02, 0.05)",5569,0.5588076854013287,0.5443269495063783,0.5731461155709026,,
by_margin,FG3A,"[0.05, 0.1)",4459,0.6126934290199596,0.5980950693219561,0.6287823403273215,,
by_margin,FG3A,"[0.1, 1.0)",2290,0.6829694323144104,0.6590506562597079,0.7066445245718468,,
by_margin,PTS,"[0.0, 0.02)",3735,0.5804551539491298,0.5646228706381943,0.5955018480281995,,
by_margin,PTS,"[0.02, 0.05)",2593,0.629001156961049,0.610345864052917,0.6483393749231277,,
by_margin,PTS,"[0.05, 0.1)",1355,0.6974169741697417,0.6724253690902845,0.7208914516579731,,
by_margin,PTS,"[0.1, 1.0)",310,0.7451612903225806,0.6916900728238629,0.793111927642736,,
by_margin,REB,"[0.0, 0.02)",3544,0.5857787810383747,0.5700126263777338,0.60216567486662,,
by_margin,REB,"[0.02, 0.05)",2204,0.6215970961887477,0.6016145378110707,0.6410138399972596,,
by_margin,REB,"[0.05, 0.1)",936,0.7019230769230769,0.6699659216736006,0.7328396892853469,,
by_margin,REB,"[0.1, 1.0)",145,0.7724137931034483,0.6928559757236228,0.8451742333731581,,
by_margin,ALL,"[0.0, 0.02)",16842,0.5769504809405058,0.5680667706035258,0.5848996936083368,,
by_margin,ALL,"[0.02, 0.05)",13394,0.5995968344034642,0.59034009559017,0.6088726460576337,,
by_margin,ALL,"[0.05, 0.1)",8192,0.6453857421875,0.6322062039292996,0.6584837951118844,,
by_margin,ALL,"[0.1, 1.0)",2949,0.6982027806035944,0.6759737752073713,0.7194041097602312,,
coverage,ALL,>=1 lean,22542,,,,0.5851113533717489,
pick_prob,ALL,all games with a lean,22542,0.5961316653358176,0.5875849952397593,0.6038845947433634,,0.618847889567295
pick_prob,ALL,games with 2+ leans,10114,0.62853470437018,0.6173414509597779,0.6399588841588838,,0.618847889567295
pick_prob_by_season,ALL,2023-24,7210,0.6049930651872399,,,,
pick_prob_by_season,ALL,2024-25,8117,0.5758285080694838,,,,
pick_prob_by_season,ALL,2025-26,7215,0.6101178101178101,,,,
pick_margin,ALL,all games with a lean,22542,0.5941797533493035,0.5858548968437391,0.6019773521258442,,0.6211839660207061
pick_margin,ALL,games with 2+ leans,10114,0.624184298991497,0.6129379817640779,0.6350920147187409,,0.6211839660207061
pick_margin_by_season,ALL,2023-24,7210,0.6018030513176145,,,,
pick_margin_by_season,ALL,2024-25,8117,0.5728717506467906,,,,
pick_margin_by_season,ALL,2025-26,7215,0.6105336105336105,,,,
pick_hist,ALL,all games with a lean,22542,0.5959098571555319,0.5884909970344552,0.6035146846281747,,0.6191133528006371
pick_hist,ALL,games with 2+ leans,10114,0.6280403401226023,0.6167980620831859,0.6388879085755091,,0.6191133528006371
pick_hist_by_season,ALL,2023-24,7210,0.6031900138696256,,,,
pick_hist_by_season,ALL,2024-25,8117,0.5769372921029937,,,,
pick_hist_by_season,ALL,2025-26,7215,0.60997920997921,,,,
