stat,base_rate_above,n_games,n_scored,evaluation,season,cutoff,n_calls,coverage,accuracy,balanced_accuracy,level_only_accuracy_same_games,level_only_balanced_accuracy,majority_accuracy_same_games,shipped,acc_ci_lo,acc_ci_hi,share_below_calls,accuracy_above_calls,accuracy_below_calls,lift_vs_level_only,lift_ci_lo,lift_ci_hi
PTS,0.48173965511766015,63161,62978,all_calls_loso,pooled,0.0,63161,1.0,0.5613388802438947,0.55528659808391,0.5182603448823399,0.5010939831601788,0.5182603448823399,True,,,,,,,,
PTS,0.48173965511766015,63161,62978,strong_lean_loso,pooled,0.07,20932,0.3314070391539083,0.6248622754491018,0.616873183675142,0.5249820359281437,,0.5261317365269461,True,0.6174395316293307,0.6323182593105056,0.6589700598802395,0.6447534766118836,0.6145681884268682,0.09988023952095804,0.08638778942294571,0.11321388770736644
PTS,0.48173965511766015,21032,20968,strong_lean_loso,2023-24,0.07,6675,0.3173735260555344,0.6328277519147019,0.6203832690335729,0.5343144616308755,,0.537918606397357,True,0.6182131249089742,0.6469455904208048,0.6732242078390148,0.6452205882352942,0.6268124024091011,0.09851329028382638,0.07661176270329244,0.12099139334046687
PTS,0.48173965511766015,20928,20873,strong_lean_loso,2024-25,0.07,6962,0.332664373088685,0.6138000576202823,0.6077061059883985,0.5201670988187842,,0.5201670988187842,True,0.5999970794392523,0.6273172145739593,0.6554307116104869,0.6358695652173914,0.6021978021978022,0.09363295880149813,0.07285542131084884,0.11600663509306619
PTS,0.48173965511766015,21201,21137,strong_lean_loso,2025-26,0.065,7295,0.3440875430404226,0.628127577673907,0.6220629398168483,0.5210338190816607,,0.5210338190816607,True,0.616385787155573,0.6402318147786596,0.6492988726972779,0.6526852214817719,0.6148634342578869,0.10709375859224635,0.08244672924787272,0.13080801883211932
PTS,0.48173965511766015,63161,62978,shipped_cutoff_on_loso,pooled,0.07,20305,0.3214800272319944,0.6251419542783785,0.6175134813132905,0.5241692588752284,,0.5253542685034316,True,0.617407223746115,0.6327275518993081,0.6563965832222387,0.6452076447765484,0.6146381826387844,0.10097269540315013,0.08804186811811701,0.1144527926386211
AST,0.4614020796396569,63161,62607,all_calls_loso,pooled,0.0,63161,1.0,0.5633555353235261,0.5435668290616265,0.538597920360343,0.5,0.538597920360343,True,,,,,,,,
AST,0.4614020796396569,63161,62607,strong_lean_loso,pooled,0.075,21390,0.3386583492978262,0.6201945782563522,0.57112519515971,0.5777840748087277,,0.5777840748087277,True,0.6116032505530776,0.6290621949274299,0.8264853121753093,0.6222101252041372,0.6197714285714285,0.042410503447624426,0.03376422932616106,0.05121087398392338
AST,0.4614020796396569,21032,20859,strong_lean_loso,2023-24,0.075,7102,0.3376759224039559,0.6266685600681624,0.5698112821771044,0.5914512922465208,,0.5914512922465208,True,0.612060939238419,0.6407167254751669,0.823629650667424,0.5998389694041868,0.6324137931034483,0.035217267821641585,0.02148501445969479,0.04979555369906249
AST,0.4614020796396569,20928,20727,strong_lean_loso,2024-25,0.075,7178,0.34298547400611623,0.6121844591736003,0.5669305539596321,0.5701593569313214,,0.5701593569313214,True,0.5962357671182027,0.627874075577254,0.8318995910308842,0.625,0.6095948465841668,0.042025102242278956,0.027562353667275736,0.0564223211147127
AST,0.4614020796396569,21201,21021,strong_lean_loso,2025-26,0.075,7110,0.33536153955002124,0.6217866780286891,0.5768650537674271,0.5717937792927141,,0.5717937792927141,True,0.6082814846435377,0.6350142760682639,0.8238886521800881,0.6419354838709678,0.6174797448715739,0.04999289873597501,0.03448714749273767,0.06565517991520341
AST,0.4614020796396569,63161,62607,shipped_cutoff_on_loso,pooled,0.075,21390,0.3386583492978262,0.6201945782563522,0.57112519515971,0.5777840748087277,,0.5777840748087277,True,0.6120139714773073,0.6286756425691978,0.8264853121753093,0.6222101252041372,0.6197714285714285,0.042410503447624426,0.03374844732803639,0.050970127277771754
REB,0.46882474884388453,63161,62710,all_calls_loso,pooled,0.0,63161,1.0,0.561808324031255,0.5456300175428923,0.530553340774996,0.4998457900121922,0.5311752511561154,True,,,,,,,,
REB,0.46882474884388453,63161,62710,strong_lean_loso,pooled,0.075,18071,0.2861100995867703,0.6241079393398751,0.6001481448886347,0.5523528099910794,,0.5538024085637824,True,0.6159012233115605,0.6319953529248432,0.7334411239964318,0.6318761765321063,0.6212846826301787,0.07175512934879569,0.060716052671627635,0.08384041937130808
REB,0.46882474884388453,21032,20889,strong_lean_loso,2023-24,0.08,5250,0.24961962723469,0.6474875335634829,0.6176081099799624,0.5686612965093978,,0.5736478711162255,True,0.6315952601343174,0.663239872527286,0.7201764480245493,0.6319396847155586,0.6535286284953395,0.07882623705408509,0.056035988468632024,0.10184751422336316
REB,0.46882474884388453,20928,20771,strong_lean_loso,2024-25,0.075,6066,0.2898509174311927,0.6126455906821964,0.5914199084391806,0.5494176372712146,,0.5494176372712146,True,0.5984169385026343,0.62641700052429,0.7237936772046589,0.6144578313253012,0.6119540229885058,0.06322795341098175,0.04412773203144674,0.08431063380283707
REB,0.46882474884388453,21201,21050,strong_lean_loso,2025-26,0.075,6755,0.31861704636573746,0.6162097735399285,0.5955360720009157,0.5423122765196663,,0.5423122765196663,True,0.603102178174213,0.6289702737158245,0.7523837902264601,0.6492178098676293,0.6053465346534653,0.07389749702026216,0.054932274290696095,0.0934215856827439
REB,0.46882474884388453,63161,62710,shipped_cutoff_on_loso,pooled,0.075,18631,0.2949763303304254,0.6225935539692841,0.5978045292450329,0.5532121998702142,,0.5546722907203114,True,0.6142834416460009,0.6308620242636223,0.7373999567380489,0.6293245469522241,0.620196538574362,0.06938135409906987,0.05847286081188055,0.08171092926857573
STL,0.4135941006732927,63161,62380,all_calls_loso,pooled,0.0,63161,1.0,0.5876723308752806,0.5091668467964449,0.5859570375120231,0.4999028358784611,0.5864058993267073,False,,,,,,,,
STL,0.4135941006732927,63161,62380,strong_lean_loso,pooled,0.09,28519,0.45152863317553554,0.6222206385404789,0.5026938348114951,0.6207596921322691,,0.6207596921322691,False,0.6134484009893665,0.6306154048465922,0.9955458950969214,0.664,0.6220337163105336,0.0014609464082098178,0.0005931571172679035,0.0025474145110336273
STL,0.4135941006732927,21032,20758,strong_lean_loso,2023-24,0.1,8154,0.38769494104222135,0.6559770401796855,0.5007844206917637,0.6558522585475418,,0.6558522585475418,False,0.6403871621594455,0.671539103732181,0.9981282755178438,0.5333333333333333,0.6562070258782348,0.00012478163214368898,0.0,0.00038634046573515746
STL,0.4135941006732927,20928,20666,strong_lean_loso,2024-25,0.085,10815,0.5167717889908257,0.6022406326492186,0.502479434033652,0.6007343249858784,,0.6007343249858784,False,0.5881453233783827,0.6167030139944115,0.9956693654678969,0.6739130434782609,0.601928895612708,0.001506307663340145,0.0003645062742264865,0.0029427590039196112
STL,0.4135941006732927,21201,20956,strong_lean_loso,2025-26,0.09,9550,0.45045045045045046,0.6160373355960967,0.5043084142940213,0.6134917267713195,,0.6134917267713195,False,0.602122036637725,0.6303100603236411,0.9932117098005939,0.6875,0.6155489107219138,0.002545608824777279,0.00033272369741892404,0.005401098227736494
STL,0.4135941006732927,63161,62380,shipped_cutoff_on_loso,pooled,0.09,29529,0.4675195136239135,0.6211192951056653,0.5025448010209486,0.6197425483582295,,0.6197425483582295,False,0.6130539129513317,0.6296513472780624,0.995732085082949,0.6612903225806451,0.6209471137227791,0.0013767467474358197,0.0005174779941310076,0.0023784986015112407
