row_type,subset,variant,mpg_source,quality,strength,fold,stat,n_cases,n_moved,mae,bias,rel_mae_vs_reference,fitted_s,ci_lo,ci_hi
eval,all_treated,reference,,,,,PTS,16101,0.0,5.457040603630659,-0.3818508080506983,0.9999999999999943,,,
eval,all_treated,reference,,,,,AST,16101,0.0,1.6318259964520587,-0.15098305596272585,1.0000000000000013,,,
eval,all_treated,reference,,,,,REB,16101,0.0,2.0510571562223485,-0.09431267082920418,1.0000000000000036,,,
eval,all_treated,reference,,,,,STL,16101,0.0,0.8122795769874498,-0.0015188503305611839,1.0000000000000029,,,
eval,all_treated,reference,,,,,BLK,16101,0.0,0.602930357491421,-0.011608331326434842,1.000000000000002,,,
eval,all_treated,reference,,,,,FG3M,16101,0.0,1.0849740862508475,-0.03593609182960182,1.000000000000003,,,
eval,all_treated,reference,,,,,TOV,16101,0.0,1.0602758483751435,-0.004940737122164986,1.0000000000000022,,,
eval,all_treated,reference,,,,,FG3A,16101,0.0,1.7507342333081999,-0.08333974101585336,1.000000000000003,,,
eval,all_treated,reference,,,,,OREB,16101,0.0,0.9075944023735796,-0.009324958020762466,0.9999999999999971,,,
eval,all_treated,reference,,,,,POOLED,16101,0.0,,,1.000000000000001,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,PTS,16101,16101.0,5.463067169431431,-0.21568139082189317,1.0011043652115639,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,AST,16101,16101.0,1.633144969913519,-0.11285722856063936,1.0008082807016987,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,REB,16101,16101.0,2.054881937807072,-0.038228871522308944,1.0018647854708131,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,STL,16101,16101.0,0.8134801711683906,0.008895393724136124,1.001478055357979,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,BLK,16101,16101.0,0.6042235616783515,-0.005473551387093189,1.0021448649431293,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,FG3M,16101,16101.0,1.0872357523101877,-0.01732900712516453,1.0020845346335956,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,TOV,16101,16101.0,1.0625966976590955,0.014122658655774873,1.0021889108268485,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,FG3A,16101,16101.0,1.7539335322338836,-0.03282405231984544,1.0018274041055584,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,OREB,16101,16101.0,0.9094810496837523,0.0035252223018031287,1.0020787339644626,,,
eval,all_treated,pit_q_s0.05,pit,True,0.05,,POOLED,16101,16101.0,,,1.0017311039128498,,,
eval,all_treated,pit_q_s0.10,pit,True,0.1,,PTS,16101,16101.0,5.474190713917143,-0.04951197359308799,1.0031427492540632,,,
eval,all_treated,pit_q_s0.10,pit,True,0.1,,AST,16101,16101.0,1.6353477055566457,-0.07473140115855284,1.0021581400910673,,,
eval,all_treated,pit_q_s0.10,pit,True,0.1,,REB,16101,16101.0,2.0600155096868353,0.017854927784586288,1.0043676761699774,,,
eval,all_treated,pit_q_s0.10,pit,True,0.1,,STL,16101,16101.0,0.8148255272334534,0.019309637778833422,1.0031343275371372,,,
eval,all_treated,pit_q_s0.10,pit,True,0.1,,BLK,16101,16101.0,0.6055831953793547,0.0006612285522484655,1.0043999076426877,,,
