subset,config,min_sample,k,cap,n_cases,n_moved,stat,mae,bias,rel_mae_vs_no_adjustment
all_treated,no_adjustment,,,,14709,0,PTS,5.589826342951238,-0.9811151019579102,0.9999999999999908
all_treated,no_adjustment,,,,14709,0,AST,1.6779351410132193,-0.2693013864366746,0.9999999999999954
all_treated,no_adjustment,,,,14709,0,REB,2.0707689423904747,-0.19295079658092465,1.0000000000000024
all_treated,no_adjustment,,,,14709,0,STL,0.8166961308860845,-0.02436668992313823,1.000000000000001
all_treated,no_adjustment,,,,14709,0,BLK,0.5914879546380537,-0.01110428688512275,1.0000000000000078
all_treated,no_adjustment,,,,14709,0,FG3M,1.1097734380692177,-0.09754379806867876,1.0000000000000042
all_treated,no_adjustment,,,,14709,0,TOV,1.0765830126638907,-0.053500535482011384,1.0000000000000024
all_treated,no_adjustment,,,,14709,0,FG3A,1.795281744041356,-0.2581278121816635,0.9999999999999981
all_treated,no_adjustment,,,,14709,0,OREB,0.9103546078042234,-0.035198631807387706,0.9999999999999967
all_treated,no_adjustment,,,,14709,0,POOLED,,,0.9999999999999999
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,PTS,5.7564354228071295,-0.011645242475404997,1.0298057702751235
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,AST,1.716129618341129,-0.07537581294137619,1.022762785279554
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,REB,2.142936134578833,0.008254073849245794,1.0348504319873826
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,STL,0.8451764461944485,-0.0020142466529138622,1.0348725973238846
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,BLK,0.603366904171877,-0.0015356626815627979,1.0200831638931633
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,FG3M,1.1544142990562307,-0.006271404366778697,1.0402252022400933
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,TOV,1.10922361450193,0.017877069883881307,1.030318704135296
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,FG3A,1.8654312233673456,0.025392285744006742,1.0390743567458514
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,OREB,0.940916937097897,0.0074177940687826715,1.0335718949864898
all_treated,m3_k0_capnone,3.0,0.0,none,14709,12180,POOLED,,,1.0317294340963155
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,PTS,5.722449737257623,-0.054651787012511194,1.0237258523198258
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,AST,1.7020810188357545,-0.08860921955864474,1.0143902331099324
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,REB,2.129697374013456,0.0014164138521105662,1.0284572703485497
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,STL,0.8313538864643687,-0.0020431902014851457,1.0179476246108599
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,BLK,0.5988681289362482,-0.0007032973793003921,1.012477302775701
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,FG3M,1.1393777215963712,-0.016288886893331536,1.0266759705284205
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,TOV,1.0959804456178808,0.013801989584317786,1.018017591514839
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,FG3A,1.853136025948611,0.017052399365448088,1.0322257395527321
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,OREB,0.9292467831200226,0.0050117685939848585,1.0207525453859834
all_treated,m3_k0_cap0.75-1.35,3.0,0.0,0.75-1.35,14709,12180,POOLED,,,1.0216300144607604
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,PTS,5.664139098141328,-0.14838268422355824,1.0132942869117476
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,AST,1.6882755805809626,-0.1169210982973002,1.0061625978948696
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,REB,2.109816373187839,-0.021297148292701365,1.0188564885236755
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,STL,0.8253125135283614,-0.0060196843826439235,1.010550291983053
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,BLK,0.596484244228415,-0.0018053450402930405,1.0084469845094701
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,FG3M,1.1300076386373452,-0.028201187653312254,1.0182327310007848
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,TOV,1.087493441514204,0.005892455654926812,1.0101343126558529
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,FG3A,1.8362602534796149,-0.007351129452330064,1.0228256704410132
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,OREB,0.9217036367506295,-0.0009709905049277932,1.0124666024086777
all_treated,m3_k0_cap0.85-1.20,3.0,0.0,0.85-1.20,14709,12180,POOLED,,,1.013441107369905
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,PTS,5.634014719372428,-0.216193147934041,1.0079051429704717
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,AST,1.6878032173078663,-0.1133619050888437,1.005881083275174
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,REB,2.099503087251251,-0.03413720053504681,1.0138760748592313
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,STL,0.8316022624605565,-0.007350949102588386,1.0182517475114035
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,BLK,0.5980802003573853,-0.0035642285199901725,1.011145190138944
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,FG3M,1.1345875987644267,-0.025086764127422837,1.0223596635529368
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,TOV,1.0914439556943427,0.005429192642635177,1.0138038059821164
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,FG3A,1.825914446712168,-0.032556240776378996,1.0170628943186664
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,OREB,0.9266462522460314,-0.0006725603978953236,1.0178959323126846
all_treated,m3_k3_capnone,3.0,3.0,none,14709,12180,POOLED,,,1.0142423927690698
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,PTS,5.63122065633136,-0.2254364977459686,1.0074052950557701
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,AST,1.686502808862246,-0.11712240988599161,1.0051060780834744
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,REB,2.0985683797011596,-0.03501809808740718,1.013424692992835
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,STL,0.8281326439237874,-0.006737201913550568,1.0140033882924064
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,BLK,0.5974389786600334,-0.0029710230597399007,1.0100611077120343
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,FG3M,1.1315554774421333,-0.027961805102806356,1.0196274650534227
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,TOV,1.089065631461372,0.003427598022854607,1.011594664462146
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,FG3A,1.8248527073568108,-0.033779761089622086,1.0164714888978286
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,OREB,0.9244804995908609,-0.0015560968746694708,1.015516911394238
all_treated,m3_k3_cap0.75-1.35,3.0,3.0,0.75-1.35,14709,12180,POOLED,,,1.0125790102160173
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,PTS,5.617835678597584,-0.26689618135776416,1.005010770268671
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,AST,1.6821075974458335,-0.13240499927946106,1.0024866613319077
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,REB,2.0930126105081284,-0.04547551493798284,1.0107417431574865
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,STL,0.824042815822732,-0.008457201911327504,1.0089956161891909
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,BLK,0.595962594300321,-0.003079951503612193,1.0075650562740706
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,FG3M,1.126359322530643,-0.03527791799487186,1.0149452887341457
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,TOV,1.0847807625488965,-0.0008310237687704677,1.0076146008144082
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,FG3A,1.8213999704137955,-0.043221541318593334,1.0145482604382983
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,OREB,0.9201957455698934,-0.004629390305399989,1.01081022458864
all_treated,m3_k3_cap0.85-1.20,3.0,3.0,0.85-1.20,14709,12180,POOLED,,,1.00919091353298
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,PTS,5.603663332358561,-0.3024288402018072,1.0024753880636597
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,AST,1.6816000300757665,-0.12947200364628306,1.0021841661056854
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,REB,2.0880248669948207,-0.052553573912907575,1.0083330999664457
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,STL,0.827692953531032,-0.009398553461201284,1.013465011317021
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,BLK,0.5968066494199722,-0.004248722991384339,1.0089920593314157
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,FG3M,1.12906367137084,-0.03269681097906827,1.0173821364252402
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,TOV,1.087105831464609,-0.00023277813617561408,1.0097742753479673
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,FG3A,1.8160319692271292,-0.0576980497907322,1.0115581998506034
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,OREB,0.9228963675912925,-0.004154982427463162,1.0137767850896222
all_treated,m3_k5_capnone,3.0,5.0,none,14709,12180,POOLED,,,1.0097712357219621
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,PTS,5.602681707087632,-0.30609483692535927,1.0022997788030665
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,AST,1.6813933120648772,-0.13117692579773063,1.002060968250276
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,REB,2.0878657807317094,-0.05291599258042841,1.0082562752373054
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,STL,0.8261775485593482,-0.008979473591575573,1.011609480337537
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,BLK,0.5965964713104113,-0.003862771587573633,1.0086367213944165
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,FG3M,1.1278470800896094,-0.03413712954233639,1.0162858844881357
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,TOV,1.0861148273739467,-0.0016175341728584896,1.0088537665910902
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,FG3A,1.815532926107533,-0.05811271746690934,1.011280225030633
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,OREB,0.921974100822636,-0.004737101679996589,1.0127636999019929
all_treated,m3_k5_cap0.75-1.35,3.0,5.0,0.75-1.35,14709,12180,POOLED,,,1.0091163111149393
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,PTS,5.597319772838399,-0.3320871964272607,1.0013405478859927
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,AST,1.6794127156094127,-0.14184795665030236,1.0008805910074055
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,REB,2.0852479764838687,-0.05896331761531931,1.006992105105017
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,STL,0.8233561975676673,-0.00996993776808576,1.008154889474446
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,BLK,0.5955719270279749,-0.0038078671530796418,1.0069045740625857
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,FG3M,1.1242877230171124,-0.03939478913572549,1.0130786018569262
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,TOV,1.0834048997021315,-0.004606735882634292,1.0063366103291593
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,FG3A,1.8140972700564464,-0.06296489534079339,1.010480542164224
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,OREB,0.919222597228358,-0.0068811025710853865,1.009741247364608
all_treated,m3_k5_cap0.85-1.20,3.0,5.0,0.85-1.20,14709,12180,POOLED,,,1.007101078805596
