N,k,stat,n_cases,mae,directional_acc,directional_n,rel_mae_vs_season_only
5,season_only,PTS,25662,5.500362695792393,51.66868813333855,25559,1.0
5,season_only,AST,25662,1.6466656883172075,51.63218752458114,25426,1.0
5,season_only,REB,25662,2.0618891028468584,50.42996819413359,25467,1.0
5,season_only,STL,25662,0.8167577552355558,51.09116786589705,25294,1.0
5,season_only,BLK,25662,0.5957510432693982,50.39942768570407,25161,1.0
5,season_only,FG3M,25662,1.0936852163219286,50.23569302017863,24184,1.0
5,season_only,TOV,25662,1.0657480596469198,49.13007456503728,25347,1.0
5,season_only,FG3A,25662,1.7580600553031136,50.717799822566334,24798,1.0
5,season_only,OREB,25662,0.9042203425483849,50.00789328281632,25338,1.0
5,season_only,POOLED,25662,,50.59318368391784,226574,0.9999999999999991
5,2,PTS,25662,5.806615417981243,51.211126738552906,25596,1.0556786414145243
5,2,AST,25662,1.7217993095820014,52.146082858825835,25465,1.045627732330766
5,2,REB,25662,2.1566265343452518,51.605819379632166,25501,1.0459469092530675
5,2,STL,25662,0.8471014896032797,52.664403568327145,25334,1.0371514493412708
5,2,BLK,25662,0.6093391096575818,54.24085015266268,25219,1.022808296421294
5,2,FG3M,25662,1.1398445666655286,52.77674553036872,24219,1.0422053344552231
5,2,TOV,25662,1.111478695224354,52.40289923579926,25386,1.042909424195982
5,2,FG3A,25662,1.8473208410469728,53.37655539000523,24833,1.05077231888331
5,2,OREB,25662,0.9374030655336083,52.33368781755878,25389,1.036697607235537
5,2,POOLED,25662,,52.52223034960475,226942,1.0421997459478864
5,4,PTS,25662,5.641216626570335,51.246191108680364,25598,1.0256081168766729
5,4,AST,25662,1.6774413932356456,52.19525604775369,25464,1.0186897104474735
5,4,REB,25662,2.103218066321253,51.69398478550702,25502,1.020044222270408
5,4,STL,25662,0.8295422019708577,52.60332372794379,25333,1.0156526787206506
5,4,BLK,25662,0.6015448612262693,54.205162774098895,25219,1.0097252334214564
5,4,FG3M,25662,1.1140733106407752,52.72306866509765,24219,1.0186416475367674
5,4,TOV,25662,1.085307202992457,52.223754185542646,25385,1.0183525019524946
5,4,FG3A,25662,1.795057021774533,53.424878186284374,24833,1.0210441994628225
5,4,OREB,25662,0.9186491399567047,52.33781069051089,25387,1.0159571696514311
5,4,POOLED,25662,,52.510795805058606,226940,1.0181906089266877
5,8,PTS,25662,5.5466839498586005,51.32242059616361,25597,1.0084214908412572
5,8,AST,25662,1.653500294411222,52.226672950047124,25464,1.0041505729684568
5,8,REB,25662,2.073420735399205,51.75280370167046,25502,1.0055927511020961
5,8,STL,25662,0.81915395117118,52.51648048000631,25333,1.0029337902459623
5,8,BLK,25662,0.5971878930244388,54.10817669918312,25218,1.0024118291881712
5,8,FG3M,25662,1.0991978551251964,52.67982492361054,24218,1.0050404254542333
5,8,TOV,25662,1.0703636804921537,52.16466417175497,25385,1.00433087426569
5,8,FG3A,25662,1.7655020707578428,53.45709338380381,24833,1.0042330837517641
5,8,OREB,25662,0.90791262980377,52.213818640195385,25386,1.004083393263393
5,8,POOLED,25662,,52.487485458455254,226936,1.0045775790090026
5,16,PTS,25662,5.507239316417268,51.38302859821847,25596,1.001250212214212
5,16,AST,25662,1.6446760266989051,52.31699654414075,25464,0.9987917027527696
5,16,REB,25662,2.061754264066598,51.9057328836954,25502,0.9999346042519579
5,16,STL,25662,0.8154005975339725,52.48095369675917,25333,0.9983383595773855
5,16,BLK,25662,0.5956531839075034,53.965421524308034,25218,0.999835737825388
5,16,FG3M,25662,1.093214382059952,52.62201668180692,24218,0.9995694974614725
5,16,TOV,25662,1.0648713453425582,51.84951743155407,25385,0.999177371897208
5,16,FG3A,25662,1.7548201832877768,53.33628639310595,24833,0.998157132342798
5,16,OREB,25662,0.9037971329052937,52.123217521468526,25386,0.9995319618203916
5,16,POOLED,25662,,52.437041443585166,226935,0.9993985089048434
5,32,PTS,25662,5.496652358544896,51.46507266760432,25596,0.9993254377115286
5,32,AST,25662,1.643304977810282,52.41124725102105,25464,0.9979590814755119
5,32,REB,25662,2.0592747377069744,51.929260450160776,25502,0.9987320534667581
5,32,STL,25662,0.8150203677099063,52.34674140449217,25333,0.9978728239621691
5,32,BLK,25662,0.5953598904616714,54.0962804346102,25218,0.999343429084773
5,32,FG3M,25662,1.092030050634935,52.41968783549426,24218,0.9984866160186749
5,32,TOV,25662,1.0640010734181276,51.498916683080566,25385,0.9983607887314653
5,32,FG3A,25662,1.7533118609060934,53.27588289775702,24833,0.9972991853249282
5,32,OREB,25662,0.902995311777719,51.93019774678957,25386,0.9986452076855367
5,32,POOLED,25662,,52.37006191200123,226935,0.9984471803845943
5,raw_h2h,PTS,25662,6.6087236640428335,51.07707974306752,25532,1.2015068877363857
5,raw_h2h,AST,25662,1.943799521990997,52.10020942822145,25307,1.1804457551899574
5,raw_h2h,REB,25662,2.435538279687199,51.672906403940885,25375,1.1812169123569456
5,raw_h2h,STL,25662,0.9196256462214082,52.68748756713746,25135,1.125946635127064
5,raw_h2h,BLK,25662,0.6456050450731523,54.28091101949326,24983,1.0836826093164056
5,raw_h2h,FG3M,25662,1.2657190917829368,52.9093707108098,24043,1.1572974315585607
5,raw_h2h,TOV,25662,1.2418127971319657,52.577033036848796,25184,1.1652029632063097
5,raw_h2h,FG3A,25662,2.1014009040604615,53.41295546558704,24700,1.1952952902386211
5,raw_h2h,OREB,25662,1.025383836022151,52.370364488207734,25186,1.133997752287112
5,raw_h2h,POOLED,25662,,52.55694293508395,225445,1.1582880263352529
10,season_only,PTS,25662,5.500362695792393,51.66868813333855,25559,1.0
10,season_only,AST,25662,1.6466656883172075,51.63218752458114,25426,1.0
10,season_only,REB,25662,2.0618891028468584,50.42996819413359,25467,1.0
